
2026/03/11 (20:36:15) | ===> btop++ v.1.4.6
2026/03/11 (20:36:15) | INFO: Logger set to DEBUG
2026/03/11 (20:36:15) | DEBUG: Using locale C
2026/03/11 (20:36:15) | INFO: Running on /dev/pts/1
2026/03/11 (20:36:15) | DEBUG: TTY mode enabled: false
2026/03/11 (20:36:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (20:36:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (20:36:15) | DEBUG: Shared::init() : Initialized.
2026/03/11 (20:36:15) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/11 (20:45:55) | ===> btop++ v.1.4.6
2026/03/11 (20:45:55) | INFO: Logger set to DEBUG
2026/03/11 (20:45:55) | DEBUG: Using locale C
2026/03/11 (20:45:55) | INFO: Running on /dev/pts/0
2026/03/11 (20:45:55) | DEBUG: TTY mode enabled: false
2026/03/11 (20:45:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (20:45:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (20:45:55) | DEBUG: Shared::init() : Initialized.
2026/03/11 (20:45:55) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
2026/03/11 (20:50:13) | DEBUG: Writing new config file
2026/03/11 (20:50:13) | INFO: Quitting! Runtime: 00:04:18

2026/03/11 (20:50:16) | ===> btop++ v.1.4.6
2026/03/11 (20:50:16) | INFO: Logger set to DEBUG
2026/03/11 (20:50:16) | DEBUG: Using locale C
2026/03/11 (20:50:16) | INFO: Running on /dev/pts/0
2026/03/11 (20:50:16) | DEBUG: TTY mode enabled: false
2026/03/11 (20:50:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (20:50:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (20:50:16) | DEBUG: Shared::init() : Initialized.
2026/03/11 (20:50:16) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/11 (21:14:55) | ===> btop++ v.1.4.6
2026/03/11 (21:14:55) | INFO: Logger set to DEBUG
2026/03/11 (21:14:55) | DEBUG: Using locale C
2026/03/11 (21:14:55) | INFO: Running on /dev/pts/0
2026/03/11 (21:14:55) | DEBUG: TTY mode enabled: false
2026/03/11 (21:14:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (21:14:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (21:14:55) | DEBUG: Shared::init() : Initialized.
2026/03/11 (21:14:55) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
2026/03/11 (21:16:42) | DEBUG: Writing new config file
2026/03/11 (21:16:42) | INFO: Quitting! Runtime: 00:01:47

2026/03/11 (21:16:43) | ===> btop++ v.1.4.6
2026/03/11 (21:16:43) | INFO: Logger set to DEBUG
2026/03/11 (21:16:43) | DEBUG: Using locale C
2026/03/11 (21:16:43) | INFO: Running on /dev/pts/0
2026/03/11 (21:16:43) | DEBUG: TTY mode enabled: false
2026/03/11 (21:16:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (21:16:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (21:16:43) | DEBUG: Shared::init() : Initialized.
2026/03/11 (21:16:43) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/11 (21:16:46) | ===> btop++ v.1.4.6
2026/03/11 (21:16:46) | INFO: Logger set to DEBUG
2026/03/11 (21:16:46) | DEBUG: Using locale C
2026/03/11 (21:16:46) | INFO: Running on /dev/pts/0
2026/03/11 (21:16:46) | DEBUG: TTY mode enabled: false
2026/03/11 (21:16:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (21:16:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (21:16:46) | DEBUG: Shared::init() : Initialized.
2026/03/11 (21:16:46) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/11 (21:17:06) | ===> btop++ v.1.4.6
2026/03/11 (21:17:06) | INFO: Logger set to DEBUG
2026/03/11 (21:17:06) | DEBUG: Using locale C
2026/03/11 (21:17:06) | INFO: Running on /dev/pts/0
2026/03/11 (21:17:06) | DEBUG: TTY mode enabled: false
2026/03/11 (21:17:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/11 (21:17:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/11 (21:17:06) | DEBUG: Shared::init() : Initialized.
2026/03/11 (21:17:06) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/12 (05:11:53) | ===> btop++ v.1.4.6
2026/03/12 (05:11:53) | INFO: Logger set to DEBUG
2026/03/12 (05:11:53) | DEBUG: Using locale C
2026/03/12 (05:11:53) | INFO: Running on /dev/pts/0
2026/03/12 (05:11:53) | DEBUG: TTY mode enabled: false
2026/03/12 (05:11:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (05:11:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (05:11:53) | DEBUG: Shared::init() : Initialized.
2026/03/12 (05:11:53) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
2026/03/12 (05:12:05) | INFO: Quitting! Runtime: 00:00:12

2026/03/12 (05:12:58) | ===> btop++ v.1.4.6
2026/03/12 (05:12:58) | INFO: Logger set to DEBUG
2026/03/12 (05:12:58) | DEBUG: Using locale C
2026/03/12 (05:12:58) | INFO: Running on /dev/pts/0
2026/03/12 (05:12:58) | DEBUG: TTY mode enabled: false
2026/03/12 (05:12:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (05:12:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (05:12:58) | DEBUG: Shared::init() : Initialized.
2026/03/12 (05:12:58) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/12 (19:15:20) | ===> btop++ v.1.4.6
2026/03/12 (19:15:20) | INFO: Logger set to DEBUG
2026/03/12 (19:15:20) | DEBUG: Using locale C
2026/03/12 (19:15:20) | INFO: Running on /dev/pts/2
2026/03/12 (19:15:20) | DEBUG: TTY mode enabled: false
2026/03/12 (19:15:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (19:15:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (19:15:20) | DEBUG: Shared::init() : Initialized.
